Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Change%
BTC,2/11/2019,3593.183177,3621.173667,3653.116621,3579.428994,-0.007724285
BTC,2/12/2019,3579.341881,3593.183267,3616.423243,3546.249433,-0.003852099
BTC,2/13/2019,3569.554833,3589.224148,3625.790495,3556.898552,-0.002734315
BTC,2/14/2019,3558.396858,3569.554837,3587.773513,3536.428098,-0.003125873
BTC,2/15/2019,3566.247765,3555.19948,3617.520131,3542.412504,0.002206304
BTC,2/16/2019,3596.405191,3566.23715,3607.963504,3564.609675,0.008456346
BTC,2/17/2019,3606.151988,3596.388615,3662.620411,3558.757213,0.00271015
BTC,2/18/2019,3865.318165,3606.132961,3925.121367,3598.924256,0.071867791
BTC,2/19/2019,3904.48292,3869.834104,3975.889598,3842.300685,0.01013235
BTC,2/20/2019,3924.739844,3904.465644,3964.555496,3861.120342,0.00518812
BTC,2/21/2019,3889.758485,3924.739844,3979.057929,3870.950163,-0.008913039
BTC,2/22/2019,3933.60759,3898.507867,3953.534813,3889.619696,0.011272963
BTC,2/23/2019,4105.112759,3933.606112,4146.011274,3912.744127,0.043599969
BTC,2/24/2019,3763.620516,4105.095188,4178.658614,3697.82002,-0.083187056
BTC,2/25/2019,3819.865341,3763.622167,3852.370301,3729.685214,0.01494434
BTC,2/26/2019,3797.58179,3819.879316,3831.029065,3762.212195,-0.005833596
BTC,2/27/2019,3772.936335,3796.637284,3824.165879,3666.524016,-0.006489776
BTC,2/28/2019,3799.678543,3773.441461,3879.231185,3753.800022,0.007087903
BTC,3/1/2019,3811.611979,3799.367026,3840.044823,3788.918498,0.003140644
